CO/STATE,RECORDED,DATE,GRANTOR,Address,CITY,GRANTEE,PRICE,TYPE,BUILT,LAND AC,IMP SF,UNITS,LAND SF,$/SF IMP,$/UNIT IMP,$/SF LAND,GARAGE,CAP RATE,NOI,EXP,EGI,OCCUP,Corner Y/N,Reg Site shape,Utilities,Location,Quality,Condition,Description,Comments
DO-CO,2016022011,4/12/2016,Brad Peterman,7 & 19 Cantril St,Castle Rock,Caslte Court Partners LLC,4610000,Apt,1985,0.86,36456,17,37461,126.4538073,271176.4706,123.0613171,,,,,,0.9500,N,Y,Y,3,2,2,Multi,"Castle Ct Apts, Sold 1/15 for $3.3 million"
JE-CO,2016032624,4/14/2016,Belmar Investors LP,525-530 S Saulsbury St,Lakewood,CPF Trifecta LLC,58130000,Apt,2015,3.06,218882,220,133294,265.5768862,264227.2727,436.1049593,,,,,,0.9500,N,Y,Y,3,3,3,Multi,Trifecta Belmar Apts
JE-CO,2016037443,4/20/2016,Peterman Investment LLC,8250 W Coal Mine Rd,Littleton,MohrAlex LLC,3400000,Ret,1982,2.66,27035,0,115870,125.7628999,#DIV/0!,29.34333078,0,0.0750,255000,135175,390175,1.0000,N,Y,Y,3,3,3,ST Rest,7-11 anchored strip center
JE-CO,2016042555,5/5/2016,Jack M Carter LLC,SEC 64th Ave & Joyce St,Arvada,Joyce Market LLC,2250000,Lnd,,3.00,,,130680,#DIV/0!,#DIV/0!,17.21763085,0,,,,,1.0000,N,Y,Y,3,3,3,Land,"Dem 20,668 Sf flex for Sprouts Mkt"
JE-CO,2016037019,4/19/2016,MVT LLC,7878 W 80th Pl,Arvada,AJOT LLC,1700000,Off,1987,1.62,16931,0,70567,100.4075365,#DIV/0!,24.09051231,0,0.0762,129500,135448,264948,0.9400,Y,Y,Y,2,2,2,MT Off,Keybank anchor
JE-CO,2016037455,4/21/2016,Kendall Street Apartments LLC,4265-95 Kendall St,Wheat Ridge,Kendall Apartments etal,1530000,Apt,1947,0.50,11625,18,21790,131.6129032,85000,70.21569527,,0.0690,105570,60210,165780,0.9500,N,Y,Y,2,2,2,Multi,"Poforma cap rate 8.4%, Cond docs done"
JE-CO,2016035015,4/14/2016,SG Investments LLC,7615 W 60th Ave,Arvada,Fred Kahane,1470000,Apt,1959,0.50,7935,12,21790,185.2551985,122500,67.4621386,,,,,,,N,Y,Y,2,2,2,Multi,Avg older but updated apts
JE-CO,2016033480,4/11/2016,The Learning Source Foundation,455 S Pierce St,Lakewood,Foundation Holding LLC,1050000,Sch,1968,1.46,10731,0,63450,97.84735812,#DIV/0!,16.54846336,0,,,,,,N,Y,Y,2,2,3,Sch,"Learning Source sale leaseback, solar updated"
JE-CO,2016035015,4/15/2016,Arvada Investment Properties LLC,9277 W 56th Place,Arvada,Circle Properties LLC,810000,Apt,1974,0.47,6236,12,20681,129.8909557,67500,39.1663846,,,,,,,N,Y,Y,2,2,2,Multi,Avg older but updated apts
JE-CO,2016033610,4/11/2016,Rocky Mtn Ctr For Health ,7525 W 10th Ave,Lakewood,Arahant Properties LLC,700000,Off,1974,0.61,8890,0,26428,78.74015748,#DIV/0!,26.48705918,0,,,,,1.0000,Y,Y,Y,2,2,2,ST off,Owner occupied buyer
JE-CO,2016040700,4/29/2016,Walnut Creek Lot 2 LLC,S/S 110th Ave 350' E of Dover,Westminster,S and S Properties LLC,580000,Lnd,,3.17,,,138085,#DIV/0!,#DIV/0!,4.200305319,0,,,,,1.0000,N,Y,Y,2,2,2,Ind Land,Plan 30k SF off/whse
JE-CO,2016034990,4/8/2016,Lotus Property LLC,6808 W Colfax Ave,Lakewood,Amir H Bayani-Rad,425000,Ret,1957,0.52,1258,0,22825,337.8378378,#DIV/0!,18.61993428,0,,,,,1.0000,N,Y,Y,2,1,1,ST auto dlr,Owner auto dealer
AD-CO,2016024914,4/8/2016,10365 Parnters LLC,NEC Riverdale Rd & E 136th Ave,Brighton,The trust for public land,2790000,Lnd,,51.34,,,2236370,#DIV/0!,#DIV/0!,1.247557203,0,,,,,,Y,Y,Y,3,3,3,Land,Bought for open space
AD-CO,2016026640,4/7/2016,American Properties Investment LLC,1960 Dallas St,Aurora,DRG Ivestment Group LLC,2400000,Apt,1967,0.48,14920,30,20925,160.8579088,80000,114.6953405,,0.0901,216200,,,,N,Y,Y,1,1,2,Multi,"16 2BR, 13 1 BR, 1 St"
AD-CO,20160027024,4/8/2016,Relsie LLC,6240 E 49th Dr,Commerce City,Hermes Worldwide Inc,1300000,Ind,1986,0.95,10944,0,41382,118.7865497,#DIV/0!,31.41462472,0,,,,,,N,Y,Y,2,2,2,St Ind,Transport business owner occup
AD-CO,20160025244,4/1/2016,John Kuchar & AJ Graves LLC,5700 Fairfax St,Commerce City,DMS Holdings LLC,995000,Ind,1962,0.89,13812,0,38768,72.03880683,#DIV/0!,25.66523251,0,,,,,,N,Y,Y,2,2,2,St Ind,Denver machine shop owner occup
AD-CO,2016024914,4/15/2016,Country Boy Enterprises Inc,NWS US 85 390' NE of Monoco St,Commerce City,Colozona Inc,945000,Lnd,,2.83,,,123275,#DIV/0!,#DIV/0!,7.66580031,0,,,,,,N,Y,Y,2,2,2,Land,Hotel site
AD-CO,2016028449,4/13/2016,Mary A Mills etal,E/S Buckley Rd 500' N of 81st Ave,Commerce City,DIA Tech Center LLC,700000,Lnd,,53.33,,,2323055,#DIV/0!,#DIV/0!,0.3013273729,0,,,,,,N,Y,Y,2,2,2,Land,Raw land 
AD-CO,2016030657,4/20/2016,Yim Sook Honk,7855 York St,Unicorp Adams,Sang Yoo Enterprises,700000,Ret,1985,0.59,4560,0,25700,153.5087719,#DIV/0!,27.23735409,0,,,,,1.0000,N,Y,Y,1,2,2,ST C-store,Also has laundrymat.
AD-CO,2016033610,5/2/2016,Franklin & Karen Rossi ,8871 Yosemite St,Henderson,Rocky Crest Enterprises LLC,525000,Lnd,,3.21,,,139828,#DIV/0!,#DIV/0!,3.754623551,0,,,,,1.0000,N,Y,Y,2,2,2,Ind Land,Plan trucking off/whse
AR-CO,D56050368,5/13/2016,167 Inverness LLC,167 Inverness Dr,Englewood,University of Colorado Health,16200000,Lnd,,8.26,,,359806,#DIV/0!,#DIV/0!,45.02431313,0,,,,,1.0000,N,Y,Y,3,3,3,Com,I-25 exposure medical site.
AR-CO,D6051226,5/17/2016,D Christopher Wells & Barbara Wetzel tr,3138 S Parker Rd,Aurora,New Dawn Church of Religious Science,1600000,Chu,27973,1.00,8948,0,43560,178.8109075,#DIV/0!,36.73094582,0,,,,,,N,Y,Y,2,2,3,Church,Former bank used as church
AR-CO,D5139425,12/3/2015,Maria & Demetrios Verdos ,11951 E Iliff Ave,Aurora,RKMS Aurora LLC,950000,Lnd,,1.46,,,63678,#DIV/0!,#DIV/0!,14.91881026,0,,,,,1.0000,N,Y,Y,2,2,2,Medical office,Former restaurant demo for ER clinic
AR-CO,D6044430,4/29/2016,Shen Ko Investment Group LLC,SWC S Parker Rd & E Chenango Ave,Aurora,Abba Real Estate Inc,1400000,Lnd,,2.93,,,127631,#DIV/0!,#DIV/0!,10.96913911,0,,,,,1.0000,Y,Y,Y,2,2,2,Medical office,Narrow frontage site for eye care.
AR-CO,D6052071,5/19/2016,Wesley Grounds LLC,15151 E Wesley Ave,Lakewood,CR Squared Real Estate LLC,636875,Sch,1980,0.45,6792,0,19680,93.768404,#DIV/0!,32.36153455,0,,,,,,N,Y,Y,2,2,2,Sch,Childrens Playland day care owner buy.
BO-CO,3518130,5/16/2016,CBH Properties Lafayette LLC,517 Stacy Court,Boulder,Z Square Properties Company LLC,2700000,Ret,2014,0.56,4968,0,24234,543.4782609,#DIV/0!,111.4137163,0,0.0645,174150,0,174150,1.0000,Y,Y,Y,3,3,3,ST Ret,"Christian Brothers Auto, 15 yrs corp lse $35.07 SF"
BO-CO,3517796,5/11/2016,RE Hill Properties - CTC LLC,SEC Boxelder St & CTC Blvd,Aurora,Buckeye Investments LLP,2300000,Lnd,,19.72,,,859003,#DIV/0!,#DIV/0!,2.677522039,0,,,,,1.0000,Y,Y,Y,2,2,2,Comm,Large business park site.
BO-CO,3517951,5/13/2016,Manfred & Vickie Jo Neugebauer,2940 Valmont Rd,Boulder,2940 Valmont Rd LLC,1200000,Aut,1973,0.70,7200,0,30453,166.6666667,#DIV/0!,39.40498473,0,,,,,,N,Y,Y,3,2,2,Aut,Owner Euro auto maint shop
BO-CO,3518721,5/16/2016,Branz Group LLC,6672 Gunpark Dr,Boulder,2741 Mapleton 2 LLC etal,870000,Off,1997,1.82,4930,0,15840,176.4705882,#DIV/0!,54.92424242,0,,,,,,N,Y,Y,3,2,2,Office,"Gunbarrel location, next to golf"
BO-CO,3518168,5/13/2016,Patrick Webb & Thea Callinicos,927 Main St,Boulder,Buffalo Real Estate LLC,435000,Ret,1961,0.15,5530,0,6583,78.66184448,#DIV/0!,66.07929515,0,,,,,,N,Y,Y,2,2,2,ST Ret,Former Navajo rug. Newer roof.
BO-CO,3516668,5/4/2016,Key Largo Investments LLC,1501 Lee Hill Rd Unit 4,Boulder,Sealcraft Books LLC,425000,Ind,2003,0.15,1875,0,6534,226.6666667,#DIV/0!,65.04438323,0,,,,,,Y,Y,Y,2,2,2,ST Ind,Warehouse condo
BO-CO,3517988,5/10/2016,Riverview Apartments LLC,1739 Great Western Dr,Longmont,Boulder Development LLC,267500,Lnd,,0.85,,,37021,#DIV/0!,#DIV/0!,7.225628697,0,,,,,1.0000,Y,Y,Y,2,2,2,Land,Smaller apt site.
BO-CO,3519199,5/12/2016,Picogy LLC,1771 Cherokee Trail,Lafayette,CCJ LLC,223680,Lnd,,1.30,,,56628,#DIV/0!,#DIV/0!,3.949989405,0,,,,,1.0000,Y,Y,Y,2,2,2,Medical office,Vacant site for dentist.
BR-CO,201604502,4/21/2016,MF Broomfield LLC,570 Zang St,Broomfield,571 Zang Street LLC,3700000,Ret,2014,1.02,6836,0,44350,541.2521943,#DIV/0!,83.42728298,0,0.0665,246050,0,246050,1.0000,Y,Y,Y,3,3,3,MT Ret,"Mattress Firm, Five Guys 2 tenant pad retail. $37.50 & $33 SF rent"
BR-CO,201604892,5/3/2016,Flatiron LLC,455 Zang St,Broomfield,MB Hospitality LP,1700000,Lnd,,4.58,,213,199505,#DIV/0!,7981.220657,8.521098239,0,,,,,1.0000,N,Y,Y,3,3,3,Hotel land,Plan 213 rm Residence Inn/Fairfield Suites
BR-CO,201605219,5/11/2016,Stephen Gellman,6801 W 120th Ave,Broomfield,Dynamic RE Investments VI LLC,975000,Ret,1986,0.46,3464,0,20038,281.4665127,#DIV/0!,48.65852198,0,0.0980,95550,0,95550,1.0000,Y,Y,Y,2,2,2,ST Rest,"Burger King Fast Food, exp 10/16 but 10 yr option"
BR-CO,201605219,5/11/2016,Richard W Norloff,7155 W 119th Pl,Broomfield,KJ Enterprise Ltd,380000,Off,1986,0.24,1900,0,10450,200,#DIV/0!,36.36363636,0,,,,,1.0000,N,Y,Y,2,2,3,ST Off,Metro Security owner occup updated office.
DE-CO,2016059103,5/3/2016,CDG Chestnut Place  LLC,1975 19th Pl,Denver,SvF Nineteenth Denver LLC,154300000,Apt,2014,2.41,298925,314,104980,516.182989,491401.2739,1469.809372,,,,,,0.9500,N,Y,Y,3,3,3,MU apt ret,"Inc 58,0000 SF retail (46,631 SF King Soopers), Hard cost $50 Mil."
DE-CO,2016058208,4/29/2016,Prologis Inc,4555 Airport Blvd,Denver,Airport Way Denver RE Inc,19000000,Off,2008,5.67,87201,0,246985,217.8874095,#DIV/0!,76.92768636,,,,,,1.0000,N,Y,Y,3,3,3,ST Office,Karcher is tenant
DE-CO,2016061169,5/10/2016,Washington Arms LLC,1721 Washington St,Denver,1721 Washington St LLC,3650000,Apt,1926,0.22,16326,31,9403,223.569766,117741.9355,388.173987,,0.0437,159505,93682,253187,0.9600,N,Y,Y,2,2,2,MT apt ,Proforma cap 6.5% at mkt.  31 studios
DE-CO,2016061169,5/10/2016,Denver Metro Stadium District,1800 21st St,Denver,Light Bulb Supply Building,3730000,Lnd,1977,0.58,9550,0,25146,390.5759162,#DIV/0!,148.333731,,,,,,1.0000,Y,Y,Y,3,3,3,Ind Redevelop,Buyer to redevelop with office
DE-CO,2016064432,5/13/2016,"Paul Kreetzfeldt, 75% Joann Conant 25%",4855 Federal Blvd,Denver,Culinary Expressions LLC,2100000,Ret,1978,1.02,5500,0,44566,381.8181818,#DIV/0!,47.12112373,0,0.0980,157300,0,157300,1.0000,N,Y,Y,2,2,2,ST Rest,Tenant bought out McCoys lease
DE-CO,2016060381,5/6/2016,Marvin & Cynthia Becker,109-119 & 135 Harrison St,Denver,The Cassidy LLC,1700000,Lnd,1956,0.57,0,29,25000,#DIV/0!,58620.68966,68,,,,,,1.0000,Y,Y,Y,3,3,3,MF Redevelop,"Plan 29 condos, scrape houses."
DE-CO,2016064883,5/18/2016,FC Stapleton LLC,NEC Martin Luther King & Uintah st,Denver,30 West Pershing LLC,1300000,Lnd,0,2.04,0,0,88862,#DIV/0!,#DIV/0!,14.62935955,,,,,,1.0000,Y,Y,Y,2,2,2,Com land,Avg comm corner
DE-CO,2016065294,5/19/2016,Chenango Partners III,NEC W 24th Ave & Elliott St,Denver,24th & Elliott LLC,1300000,Lnd,,0.36,0,,15860,#DIV/0!,#DIV/0!,81.96721311,,,,,,1.0000,Y,Y,Y,3,3,3,MF Redevelop,"MF redeveop site, scrape houses."
DE-CO,2016063443,5/4/2016,2626 Enterprises LLC,2626 W 32nd Ave,Denver,2626 Creative LLC,900000,Ret,1931,0.11,3360,0,4750,267.8571429,#DIV/0!,189.4736842,0,,,,,1.0000,N,Y,Y,3,2,3,ST Ret,Tenant bought out lease
DE-CO,2016062750,5/12/2016,The Others LLC,3926 Tennyson St,Denver,3926 Tennyson Street LLC,990000,Ret,1948,0.17,4367,0,7348,226.7002519,#DIV/0!,134.7305389,0,,,,,1.0000,N,Y,Y,3,2,3,ST Ret,
DE-CO,2016065118,5/18/2016,Seventh Ave Congregational Church,668 King St,Denver,Church of the Advent,865000,Chu,1913,0.29,7776,0,12500,111.2397119,#DIV/0!,69.2,0,,,,,,Y,Y,Y,1,2,2,Church,"Interior church, good cond"
DE-CO,2016065127,5/17/2016,D2J2 Inc LLC,1225 Logan St,Denver,PW Real Estate Holdings LLC,780000,Ret,1900,0.15,4280,0,6490,182.2429907,#DIV/0!,120.1848998,0,,,,,1.0000,N,Y,Y,3,2,2,ST Rest,2 sty Capitol Hill Tavern
DE-CO,2016063623,5/12/2016,Arthur Allen,1145 S Cherokee St,Denver,Roland Plaster properties,325000,Ind,1948,0.14,2344,0,6125,138.6518771,#DIV/0!,53.06122449,0,,,,,1.0000,N,Y,Y,2,2,2,ST Ind,MMJ Americo Dispensary
DO-CO,2016033774,5/31/2016,Vanterra Watermark LLC,18588 E Mainstreet,Parker,Braddock & Logan Venture Group,77000000,Apt,2014,15.13,334478,306,659063,230.2094607,251633.9869,116.8325689,,,,,,0.9500,Y,Y,Y,3,3,3,Multi,Waterford on Mainstreet
DO-CO,2016032143,5/19/2016,Anthology Recovery Acquisition LLC,SWC Keyer Creek Ave & S Cory St,Parker,Richmond Homes of America,10200000,Lnd,,19.84,0,115,864230,#DIV/0!,88695.65217,11.80240825,,,,,,1.0000,Y,Y,Y,3,3,3,SF finished lots,Richmond Anthology $480-650k
DO-CO,2016032043,5/19/2016,Crystal Valley Ranch Development Co,NWC Gadwall Way & Mallard Dr,Parker,Richmond Homes of America,1400000,Lnd,,0.00,0,59,0,#DIV/0!,23728.81356,#DIV/0!,,,,,,1.0000,Y,N,Y,3,3,3,SF platted lots,Richmond Crystal Valley $400-550k
JE-CO,2016051837,5/31/2016,First Industrial LP,14988-15000 W Sixth Ave,Golden,Amacon Westpark Investment,24000000,Ind,1984/96,14.79,214116,,644252,112.0887743,#DIV/0!,37.25248055,,0.0826,1981579,1017051,2998630,0.9100,Y,Y,Y,3,3,3,MT Ind,"West Park Bus Ctr,"
JE-CO,2016051895,5/26/2016,SRO Properties LLP,SWC Hwy 93 & Spyderco Way,Golden,Newstar Golden LLC,1200000,Lnd,,3.94,0,109,171626,#DIV/0!,11009.17431,6.991931311,,,,,,1.0000,Y,Y,Y,3,3,3,MF sr Hsg,"109 unit 103,568 SF senior hsg planned"
JE-CO,2016051366,5/31/2016,P&L Partners LLC,9720-60 W Colfax Ave,Lakewood,9720 W Colfax SP,1600000,Lnd,1972,1.43,19314,,62291,82.84146215,#DIV/0!,25.6859761,,,,,,,Y,Y,Y,3,3,3,Self Stg Land,Scrape whse for mini stg
JE-CO,2016048832,5/20/2016,Associated Bodywork & Massage Prof,1271 Sugarbush Dr,Evergreen,Sugarbush Holdings LLC,1250000,Off,2000,2.02,11244,,87991,111.170402,#DIV/0!,14.20596605,,,,,,0.0000,Y,Y,Y,3,3,3,MT off,Bought by insurance sales
AD-CO,2016045786,6/10/2016,Seagate Newport Associates,8901 Colorado Blvd,Thornton,Mitchell Newport LLC,34500000,Apt,1988,6.95,165714,220,302742,208.1900141,156818.1818,113.95842,,0.0599,2066097,880000,2946097,0.9500,Y,Y,Y,2,2,2,Multi,"Newport Village, Pt updated"
AD-CO,2016043687,6/3/2016,Westminster LLC,855 W122nd Ave & 995 W 122ndAve,Westminster,CEGM Westminster LLC,25000000,Off,2001/16,13.63,118450,,593723,211.0595188,#DIV/0!,42.10719211,,0.0625,1562500,1184500,2747000,1.0000,Y,Y,Y,3,3,3,ST off,Alliance Data Systems NNN leased.
AD-CO,2016047647,6/9/2016,Boston 9180 LLC,SEC Boston St & E 92nd Ave,Henderson,Hastings Family Holding ,2900000,Lnd,,4.60,,,200550,#DIV/0!,#DIV/0!,14.46021705,,,,,,,Y,Y,Y,2,2,2,Ind Land,TSL terminals stg yd
AD-CO,2016047647,6/14/2016,Boston 9180 LLC,NEC W 64th Ave & Federal Blvd,Unicorp Adams,Hastings Family Holding ,2500000,Lnd,,2.40,,,104544,#DIV/0!,#DIV/0!,23.91337619,,,,,,,Y,Y,Y,2,2,2,retail pad,7-11 c-store pad site
AD-CO,2016044862,6/8/2016,Regis University,2801 W 70th Ave,Uninc Adams,Flats at Midtown & Uvector North,2350000,Apt,1962,1.09,20496,23,47552,114.6565183,102173.913,49.41958277,,,,,,,Y,Y,Y,2,2,2,Multi,North Gate apts
AD-CO,2016044862,6/8/2016,71st & Lowell Apartments LLC,7130 Lowell Blvd,Uninc Adams,Pyne Investments LLC,1660000,Apt,1960,0.45,10972,18,19602,151.2942034,92222.22222,84.6852362,,,,,,,Y,Y,Y,2,2,3,Multi,North Gate apts
AR-CO,D6059598,6/8/2016,HUB Properties Tr,9110 E Nichols Ave,Centennial,Highland II Co LLC,17200000,Off,1984,5.47,143958,,238273,119.4792926,#DIV/0!,72.18604526,,,,,,1.0000,Y,Y,Y,3,3,2,MT off,Highland II building
AR-CO,D6062405,6/14/2016,Aurora Crossroads Investors Seven LLC,adj NEC E 6th Ave & Gun Club Rd,Aurora,JP Morgan Chase Bank,11760000,Lnd,,100.00,,,4356000,#DIV/0!,#DIV/0!,2.699724518,,,,,,,Y,Y,Y,2,2,2,Dev land,JP Morgan computer center
AR-CO,D6064647,6/17/2016,Jones Business Park LLC,SEC E Mineral Ave & S Chester St,Centennial,Jones I MNMA LLC,6000000,Lnd,,4.75,,,207025,#DIV/0!,#DIV/0!,28.982007,,,,,,,Y,Y,Y,3,3,3,Dev land,Opus Plans office dev
AR-CO,D6059598,6/17/2016,BDFIF IV Eddie Merlots Englewood LLC,10110 E Dry Creek Rd,Englewood,11411 Limited LLC,5700000,Ret,2015,1.26,10749,0,54886,530.2818867,#DIV/0!,103.8523766,0,0.0765,436050,0,436050,1.0000,Y,Y,Y,3,3,3,ST Rest,15 yr NNN lease Eddie Merlots
AR-CO,D6059598,6/6/2016,Howard Ball Iliff LLC,2295 S Chambers Rd,Aurora,Sabat Partnership LLC,4300000,Ret,1978,1.75,19910,0,76230,215.9718734,#DIV/0!,56.40823823,0,,,,,1.0000,Y,Y,Y,2,2,2,MT Ret,7-11 anchored strip center
AR-CO,D6059598,6/10/2016,Cookson Enerprises Inc,7991 Southpark Way,Littleton,Pars Real Estate I LLC,3500000,Sch,2005,1.99,10280,0,86684,340.4669261,#DIV/0!,40.37635376,0,,,,,,Y,Y,Y,3,3,3,Sch,Primrose School franchisee buy
AR-CO,D6061293,6/9/2016,350 BH LLC,350 Blackhawk St,Aurora,Colorado Springs Early Colleges Building C,4400000,Sch,1982,6.13,41657,,267023,105.6245049,#DIV/0!,16.47799364,,,,,,1.0000,N,Y,Y,2,2,2,Sch,User charter school buyer
AR-CO,D60676655,6/9/2016,2767 S Tejon LLC,2767 S Tejon St,Englewood,Alan S Eber,2500000,Ind,1969,0.96,20455,0,41818,122.2195062,#DIV/0!,59.78344047,0,,,,,,N,Y,Y,2,2,3,St Ind,"Updated man bldg, pnt rm, new roof"
AR-CO,D6056685,6/1/2016,JEV LLC,3325 S Santa Fe Dr,Englewood,Terrapin Englewood LLC,850000,Lnd,,1.51,,,65776,#DIV/0!,#DIV/0!,12.92272514,,,,,,,Y,Y,Y,3,3,3,Dev land,Self Stg land
AR-CO,D6062066,6/13/2016,Littleton Group LLC,2686 W Alamo Ave,Littleton,2686 W Alamo LLC,791730,Ret,1931,0.43,3929,0,18731,201.5092899,#DIV/0!,42.26843201,0,,,,,1.0000,Y,Y,Y,2,2,3,MT Ret,Old town wine store updated.
AR-CO,D6056177,5/31/2016,David 7 Helen Day,1830-40 W Littleton Blvd,Littleton,Ontario Gardens LLC,750000,Off,1952,0.15,2959,0,6490,253.4640081,#DIV/0!,115.5624037,0,,,,,1.0000,N,Y,Y,2,2,3,MT Off,Old town off conversion updated.
BO-CO,,6/15/2016,Zurek Real Estate LLC,5397 S Boulder Rd,Boulder,Boulder Lodging Associates LLC,6050000,Hot,1974,0.99,36250,74,43216,166.8965517,81756.75676,139.9944465,0,,,,,,Y,Y,Y,3,2,1,Hot,"Days Hotel, plan on updating."
BO-CO,03526167,6/21/2016,The Terrace Apartments LLc,N/S Chrisman Dr 400' W ofN 107th Ave,Longmont,Crisman Apartments LLC,2500000,Lnd,,3.85,,114,167706,#DIV/0!,21929.82456,14.9070397,,,,,,,N,Y,Y,2,2,2,Dev land,LIHTC apartments planned
BO-CO,03525947,6/22/2016,505 Stacy LLC,505 Stacy Court,Lafayette,Akesca RE LLC,1400000,Ind,1996,1.33,11000,0,57935,127.2727273,#DIV/0!,24.16509594,0,0.0640,89600,43340,132940,1.0000,Y,Y,Y,2,3,3,Mt Ind,Ask $8.50 SF NNN.
BO-CO,03524920,6/16/2016,GE Capital Franchise Finance Corp,304 Center Dr,Superior,SCFRC-HW-G LLC,788413,Ret,2002,1.16,3518,0,50530,224.1083002,#DIV/0!,15.6029931,0,,,,,0.0000,Y,Y,Y,2,3,3,ST Rest,Vacant Wendys.  Ask $19.90 NNN. Portfolio buy.
BO-CO,03525947,6/22/2016,"Loan Tran, & Michael Stowell",239 Canyon Blvd,Boulder,BCC Studios LLC,780000,Off,1966,0.25,2064,0,10890,377.9069767,#DIV/0!,71.62534435,0,,,,,1.0000,N,Y,Y,3,2,2,Office,Exc area near Pearl St mall.  Owner occup.
BO-CO,03525545,6/17/2016,Manhattan Project LLC,337 E Simpson St,Lafayette,Simpson Investments LLC,590000,Off,2015,0.03,2328,0,1189,253.4364261,#DIV/0!,496.215307,0,,,,,1.0000,N,Y,Y,3,2,2,Office,New 2 sty office
BO-CO,03524747,6/17/2016,The Park At CTC,NWC Dogwood St & Cherry St,Louisville,Comunale Rentals,554960,Lnd,,3.62,,0,157687,#DIV/0!,#DIV/0!,3.51937253,,,,,,,Y,Y,Y,2,2,2,Dev land,Ind Bus Pk user buy.
BR-CO,2016006319,6/2/2016,Nash Anthem LLC, S of Anthem Ranch Rd W of Lowell,Broomfield,Toll Co II LP,13300000,Lnd,,22.37,,106,974327,#DIV/0!,125471.6981,13.65044795,,,,,,,N,Y,Y,3,2,2,SF finished lots,Toll Bros Anthem Ranch.
BR-CO,2016006167,5/31/2016,Novation Properties LLC,6450 W 120th Ave,Broomfield,Kobold 10 LLC,2000000,Ret,2003,0.84,7370,0,36415,271.3704206,#DIV/0!,54.92242208,0,,,,,0.0000,N,Y,Y,2,3,3,MT Ret,Strip Retail. Back on mkt $3.56 mil 2 tenant 6% cap rate relet.
BR-CO,2016006307,6/6/2016,A-B Petroleum Inc,NWC Midway & US 287,Broomfield,Confluent Development LLC,950000,Lnd,,0.84,,0,36490,#DIV/0!,#DIV/0!,26.03453001,,,,,,,Y,Y,Y,3,2,2,Ret pad site,"Former Conoco, demo for Starbucks."
DE-CO,2016079246,6/16/2016,1000 Speer LLC,1000 Speer Blvd,Denver,Windsor at Speer 1 LLC,120000000,Apt,2015,0.83,239232,224,36348,501.6051364,535714.2857,3301.41961,,,,,,0.4400,Y,Y,Y,3,3,3,MT luxury apt ,Still in leaseup mode at sale.
DE-CO,2016076729,6/10/2016,16 Chestnut Development LLC,W quad 17th & Chestnut,Denver,Chestnut Denver Inc,18000000,Lnd,,0.92,420000,0,40084,42.85714286,#DIV/0!,449.0569803,,,,,,,Y,Y,Y,3,2,2,19 sty high rise lnd,"Plan Davita office high rise 420,000 SF."
DE-CO,2016074563,6/6/2016,The Realty Associates Fund X LP,4825 Nome St,Denver,4825 Nome Street LLC,3400000,Ind,1973,2.29,50544,0,99752,67.26812282,#DIV/0!,34.08439296,0,,,,,,N,Y,Y,2,2,2,ST Ind,Buyer was tenant in bldg.  Owner use.
DE-CO,2016076655,6/9/2016,Alan S Eber,3560 Chestnut Pl,Denver,Ironton LLC,2500000,Ind,1951,0.72,13828,0,31250,180.7925947,#DIV/0!,80,0,,,,,,N,Y,Y,3,3,3,ST Ind,Possible redevelopment in RINO.
DE-CO,2016076544,6/9/2016,Denver NE LLC,2440-50 Ogden & 3501-43 High St,Denver,Westwood Apartments Investors LLC,2000000,Apt,1960,0.92,12388,17,39950,161.4465612,117647.0588,50.06257822,,,,,,0.9500,Y,Y,Y,2,2,2,MT  apt ,"Sec 8, Prior sale 5/15 $1.45 mil"
DE-CO,2016076743,6/10/2016,The Alice Springs Land & Cattle Co,5071 S Syracuse St,Denver,DIA DTC LLC,1550000,Lnd,,1.29,0,94,56280,#DIV/0!,16489.3617,27.54086709,,,,,,,N,Y,Y,3,3,3,Hotel Land,Plan Marriott Ctyd 94 units.
DE-CO,2016079417,6/15/2016,Mark & Trisha Luedke,NWC Wewatta St & 20th Ave,Denver,1905 Division LLC,1340000,Lnd,,0.08,0,0,3318,#DIV/0!,#DIV/0!,403.8577456,,,,,,,Y,Y,Y,3,3,3,Dev land,CMX 12 by Union Station
DE-CO,2016076732,6/10/2016,Bergin Holdings Inc,5470 E Evans Ave,Denver,5470 East Evans LLC,775000,Ret,1969,0.45,5900,0,19735,131.3559322,#DIV/0!,39.2703319,0,,,,,1.0000,N,Y,Y,2,2,2,MT Ret,"Jerusalem Market, now vet bldg."
DE-CO,2016076658,6/10/2016,NewCorp Group LLC,2727 W Alameda Ave,Denver,Ammerman Business Property LLC,660000,Ret,1981,0.42,1783,0,18125,370.1626472,#DIV/0!,36.4137931,0,0.0550,36300,0,36300,1.0000,Y,Y,Y,2,2,2,St Rest,"Subway new 10 yr lease, 10% inc 5 yrs, $100k bus inc"
DE-CO,2016076658,6/9/2016,Rito Luna,2900 W 26th Ave,Denver,GBV Araujo LLC,600000,Ret,1901,0.08,1787,0,3536,335.7582541,#DIV/0!,169.6832579,0,,,,,1.0000,Y,Y,Y,2,2,2,St Rest,Tenant bought Arujos restaurant.
